rate,autor,url,title
9.4,作者:鲁迅,https://book.douban.com/subject/1442720/,鲁迅全集（2005最新修订版）
9.4,作者:吴淼,https://book.douban.com/subject/3337017/,塔希里亚故事集Ⅱ
9.1,作者:吴军,https://book.douban.com/subject/6709783/,浪潮之巅
9.4,作者:孔丘编订,https://book.douban.com/subject/1883245/,诗经
9.3,作者:[美]艾萨克·阿西莫夫,https://book.douban.com/subject/1258489/,第二基地
9.2,作者:[德]赫尔曼·黑塞,https://book.douban.com/subject/2165063/,纳尔齐斯与歌尔德蒙
9.2,作者:(意)伊塔洛·卡尔维诺,https://book.douban.com/subject/3643270/,新千年文学备忘录
9.1,作者:陈忠实,https://book.douban.com/subject/3091368/,白鹿原
9.4,作者:[阿根廷]豪·路·博尔赫斯,https://book.douban.com/subject/1083089/,博尔赫斯全集
9.1,作者:张爱玲,https://book.douban.com/subject/1055128/,传奇(上下)
9.0,作者:[英]毛姆,https://book.douban.com/subject/2035171/,人生的枷锁
9.0,作者:[美]法兰克·佛杜锡克著/吴程远译,https://book.douban.com/subject/1852700/,神经外科的黑色喜剧
9.0,作者:叶广芩,https://book.douban.com/subject/3448867/,采桑子
9.0,作者:钱钟书,https://book.douban.com/subject/1069848/,围城
9.0,作者:钱钟书,https://book.douban.com/subject/1039079/,写在人生边上写在人生边上的边上石语
9.0,作者:宗萨蒋扬钦哲仁波切,https://book.douban.com/subject/5332713/,人间是剧场
9.0,作者:饶平如,https://book.douban.com/subject/23008971/,平如美棠
9.2,作者:雨果,https://book.douban.com/subject/1880986/,悲惨世界（上下）
9.2,作者:[德]马克斯·韦伯,https://book.douban.com/subject/1277275/,学术与政治
8.9,作者:斯台芬·茨威格,https://book.douban.com/subject/2146279/,心灵的焦灼
8.9,作者:钱穆,https://book.douban.com/subject/1020547/,论语新解
9.2,作者:[阿根廷]豪·路·博尔赫斯,https://book.douban.com/subject/3003477/,虚构集
9.1,作者:米切尔・恩德,https://book.douban.com/subject/1008459/,毛毛
9.2,作者:郑重/王要,https://book.douban.com/subject/1393218/,大明宫词
9.0,作者:汉密尔顿/杰伊/麦迪逊,https://book.douban.com/subject/1048930/,联邦党人文集
9.2,作者:王世襄,https://book.douban.com/subject/1029940/,锦灰堆
9.3,作者:袁越,https://book.douban.com/subject/3178741/,来自民间的叛逆
9.2,作者:[俄]亚历山大·索尔仁尼琴,https://book.douban.com/subject/1315844/,古拉格群岛（上中下）
9.2,作者:[美]阿特·斯皮格曼,https://book.douban.com/subject/4075203/,鼠族（一、二部）
9.6,作者:理查德·威廉姆斯,https://book.douban.com/subject/1485731/,原动画基础教程
9.1,作者:张荫麟,https://book.douban.com/subject/1055347/,中国史纲
9.0,作者:[意大利]伊塔洛·卡尔维诺,https://book.douban.com/subject/3025619/,美国讲稿
9.2,作者:(英)J.R.R.托尔金著/克里斯托弗·托尔金编,https://book.douban.com/subject/10605859/,精灵宝钻
9.2,作者:[法]西蒙娜·德·波伏瓦,https://book.douban.com/subject/4745950/,第二性Ⅱ
9.0,作者:[美]高居翰,https://book.douban.com/subject/3410759/,隔江山色
9.1,作者:阿耐,https://book.douban.com/subject/3432304/,大江东去（共三部）
9.1,作者:张爱玲,https://book.douban.com/subject/10757938/,半生缘
9.2,作者:王尔德,https://book.douban.com/subject/4714156/,夜莺与玫瑰
9.0,作者:张爱玲,https://book.douban.com/subject/1024468/,金锁记
9.3,作者:（法）勒·柯布西耶/（瑞士）W·博奥席耶等,https://book.douban.com/subject/1394534/,勒·柯布西耶全集
9.0,作者:[英]罗杰·克劳利,https://book.douban.com/subject/25891318/,1453
9.3,作者:[法]雨果,https://book.douban.com/subject/1083433/,悲惨世界（全三册）
9.2,作者:[美]CharlesPetzold,https://book.douban.com/subject/4822685/,编码
9.2,作者:吴楚材/吴调候,https://book.douban.com/subject/1449421/,古文观止
9.2,作者:[汉]许慎撰/[宋]徐铉杨校定,https://book.douban.com/subject/1032967/,说文解字
9.6,作者:[美]乔治·R.R.马丁,https://book.douban.com/subject/10608468/,冰与火之歌·卷三·冰雨的风暴（全三册）
9.0,作者:罗兰•米勒(RowlandMiller)/丹尼尔•珀尔曼(DanielPerlman),https://book.douban.com/subject/5952488/,亲密关系（第5版）
9.6,作者:五月天,https://book.douban.com/subject/1337171/,五月天之素人自拍
9.2,作者:基思•斯坦诺维奇,https://book.douban.com/subject/6952036/,对伪心理学说不
9.0,作者:黄蓓佳,https://book.douban.com/subject/1115397/,我要做好孩子
9.2,作者:杨柳松,https://book.douban.com/subject/6125543/,北方的空地
9.2,作者:(美)安妮·阿普尔鲍姆,https://book.douban.com/subject/20503529/,古拉格：一部历史
9.4,作者:林崇德主编,https://book.douban.com/subject/1028409/,中国少年儿童百科全书（全四册）
9.4,作者:[美]徐中約,https://book.douban.com/subject/1476213/,中國近代史（上冊）
9.3,出版社:广西民族出版社,https://book.douban.com/subject/1851955/,唐诗三百首
9.4,作者:[宋]司馬光編著/[元]胡三省音注,https://book.douban.com/subject/1072295/,資治通鑑（全二十冊）
9.3,作者:〔法〕大仲马著,https://book.douban.com/subject/1121460/,基督山伯爵(上下)
9.3,作者:安房直子,https://book.douban.com/subject/1270150/,风与树的歌
9.3,作者:高尔泰,https://book.douban.com/subject/1005358/,寻找家园
9.2,作者:（美）乔治·R·R·马丁,https://book.douban.com/subject/3210843/,冰与火之歌·卷四·群鸦的盛宴（全两册）
9.4,作者:玛赞·莎塔碧,https://book.douban.com/subject/4071859/,我在伊朗长大
9.3,作者:中国社会科学院语言研究所词典编辑室编,https://book.douban.com/subject/1036684/,现代汉语词典（修订本）
9.4,作者:孙通海译注,https://book.douban.com/subject/2046236/,庄子
9.4,作者:[俄]陀思妥耶夫斯基,https://book.douban.com/subject/1856494/,卡拉马佐夫兄弟
9.4,作者:（美）BrianW.Kernighan/（美）DennisM.Ritchie,https://book.douban.com/subject/1139336/,C程序设计语言
9.3,作者:[意大利]卡尔维诺,https://book.douban.com/subject/1066165/,卡尔维诺文集（第三卷）
9.1,作者:[美]安·兰德,https://book.douban.com/subject/1431870/,源泉
9.3,作者:[美]乔治·R.R.马丁,https://book.douban.com/subject/1336330/,冰与火之歌（卷一）
